Second,Millisecond,Depth (inches),Rate (CPM),Release Velocity (MM/S),Valid/Invalid
452,113,0.815,144,140,Valid
452,497,0.827,150,140,Valid
452,921,0.809,144,142,Valid
453,337,0.795,144,150,Valid
453,761,0.807,144,154,Valid
454,185,0.849,141,149,Valid
454,625,0.82,138,122,Valid
454,985,0.806,159,151,Valid
455,433,0.802,136,137,Valid
455,913,0.76,129,130,Valid
456,297,0.916,138,168,Valid
456,753,0.828,147,153,Valid
457,169,0.805,138,138,Valid
457,594,0.798,141,109,Valid
458,10,0.803,141,129,Valid
458,418,0.826,144,162,Valid
458,826,0.778,153,166,Valid
459,258,0.803,138,171,Valid
459,674,0.751,147,132,Valid
460,82,0.797,141,138,Valid
460,482,0.853,147,148,Valid
460,930,0.892,136,153,Valid
461,402,0.884,129,154,Valid
461,818,0.852,144,164,Valid
462,610,0.802,76,118,Valid
463,10,0.822,144,125,Valid
463,402,0.803,147,139,Valid
463,826,0.797,147,152,Valid
464,242,0.803,147,142,Valid
464,666,0.78,141,137,Valid
465,98,0.809,138,137,Valid
465,490,0.838,147,142,Valid
465,922,0.773,147,129,Valid
466,347,0.805,138,134,Valid
466,795,0.811,136,124,Valid
467,195,0.827,138,147,Valid
467,659,0.777,141,136,Valid
468,59,0.83,138,159,Valid
468,507,0.803,141,148,Valid
468,915,0.746,147,121,Valid
469,331,0.773,141,130,Valid
469,707,0.795,153,143,Valid
470,139,0.807,138,149,Valid
470,587,0.787,141,143,Valid
471,3,0.754,138,132,Valid
471,427,0.78,144,147,Valid
471,859,0.779,133,140,Valid
472,259,0.697,159,130,Valid
472,683,0.667,141,119,Valid
473,75,0.634,153,120,Valid
473,467,0.659,147,131,Valid
473,899,0.6,150,122,Valid
474,275,0.607,153,127,Valid
474,643,0.635,159,119,Valid
475,107,0.618,133,113,Valid
475,524,0.595,136,121,Valid
476,444,0.617,63,128,Valid
476,916,0.603,144,135,Valid
477,324,0.651,141,130,Valid
477,764,0.674,136,122,Valid
478,196,0.756,136,125,Valid
478,612,0.783,141,131,Valid
479,36,0.792,144,139,Valid
479,828,0.777,72,172,Valid
481,92,0.712,48,127,Valid
481,468,0.652,156,100,Valid
482,268,0.595,77,107,Valid
482,644,0.602,153,119,Valid
483,380,0.652,81,116,Valid
484,564,0.72,49,80,Valid
484,956,0.707,150,142,Valid
486,213,0.61,51,115,Valid
497,990,0.676,5,109,Valid
498,374,0.655,166,88,Valid
498,758,0.773,141,116,Valid
499,150,0.738,153,155,Valid
503,527,0.695,13,140,Valid
503,911,0.672,156,108,Valid
504,295,0.673,153,117,Valid
504,711,0.706,147,139,Valid
505,151,0.666,141,104,Valid
505,559,0.656,141,103,Valid
505,959,0.641,150,115,Valid
506,359,0.626,150,101,Valid
506,743,0.639,153,117,Valid
507,151,0.591,153,95,Valid
507,567,0.612,141,101,Valid
507,975,0.631,147,117,Valid
508,399,0.61,144,104,Valid
508,807,0.64,144,126,Valid
509,231,0.629,150,119,Valid
509,639,0.577,150,85,Valid
509,983,0.59,159,106,Valid
510,359,0.619,156,116,Valid
510,783,0.609,147,122,Valid
511,183,0.587,156,110,Valid
511,543,0.606,156,122,Valid
512,344,0.63,75,98,Valid
512,736,0.654,147,98,Valid
513,160,0.659,147,108,Valid
513,592,0.58,150,97,Valid
513,976,0.582,147,89,Valid
514,376,0.625,144,115,Valid
514,800,0.622,150,107,Valid
515,168,0.637,153,111,Valid
515,632,0.576,144,94,Valid
515,968,0.639,150,128,Valid
516,800,0.614,75,100,Valid
517,176,0.611,153,100,Valid
517,568,0.59,153,101,Valid
518,16,0.56,144,95,Valid
518,408,0.597,144,95,Valid
518,816,0.575,147,92,Valid
519,232,0.56,150,92,Valid
519,608,0.591,153,118,Valid
520,360,0.584,79,99,Valid
520,744,0.583,159,102,Valid
521,136,0.59,147,103,Valid
521,560,0.598,144,106,Valid
521,984,0.581,150,99,Valid
522,361,0.555,156,92,Valid
522,753,0.532,153,82,Valid
523,153,0.556,147,90,Valid
523,569,0.552,144,94,Valid
524,337,0.596,76,94,Valid
524,745,0.6,147,94,Valid
525,169,0.586,147,94,Valid
525,601,0.557,144,85,Valid
526,9,0.583,141,93,Valid
526,425,0.569,144,103,Valid
526,881,0.571,136,88,Valid
527,241,0.572,159,95,Valid
527,721,0.585,129,84,Valid
528,105,0.627,144,99,Valid
528,529,0.664,144,100,Valid
528,929,0.641,153,105,Valid
529,329,0.643,147,118,Valid
529,745,0.604,150,109,Valid
530,153,0.628,144,99,Valid
530,577,0.606,144,87,Valid
530,969,0.615,150,90,Valid
531,386,0.66,138,107,Valid
531,810,0.641,147,114,Valid
532,202,0.608,153,97,Valid
532,618,0.614,144,99,Valid
533,18,0.619,150,95,Valid
533,418,0.603,150,109,Valid
533,842,0.565,147,96,Valid
534,210,0.552,159,92,Valid
534,642,0.548,141,86,Valid
535,34,0.54,144,77,Valid
535,434,0.52,159,87,Valid
536,618,0.524,49,85,Valid
537,34,0.532,144,96,Valid
538,322,0.53,47,83,Valid
538,722,0.521,141,68,Valid
539,946,0.532,49,83,Valid
541,179,0.557,49,90,Valid
542,27,0.543,72,82,Valid
542,371,0.612,153,118,Valid
543,579,0.56,51,118,Valid
543,971,0.532,153,66,Valid
544,363,0.575,141,79,Valid
544,755,0.579,147,90,Valid
546,347,0.56,38,86,Valid
547,955,0.557,38,88,Valid
549,27,0.584,53,102,Valid
549,428,0.549,159,87,Valid
549,812,0.526,159,76,Valid
550,908,0.517,53,76,Valid
551,668,0.792,75,249,Valid
552,508,0.91,78,146,Valid
552,836,0.948,156,119,Valid
553,212,1.008,153,193,Valid
553,628,0.929,150,187,Valid
554,52,0.894,147,196,Valid
554,468,0.837,150,166,Valid
554,836,0.815,156,165,Valid
555,252,0.901,144,160,Valid
555,644,0.935,150,160,Valid
556,36,0.91,156,165,Valid
556,428,0.9,153,169,Valid
556,828,0.845,153,168,Valid
557,220,0.794,156,146,Valid
557,636,0.801,147,116,Valid
558,12,0.853,147,126,Valid
558,389,0.85,153,151,Valid
558,853,0.792,144,133,Valid
559,229,0.793,150,147,Valid
559,637,0.707,159,119,Valid
560,37,0.706,147,102,Valid
560,405,0.743,150,118,Valid
560,837,0.74,144,125,Valid
561,269,0.706,136,116,Valid
561,837,1.023,102,179,Valid
562,365,0.913,115,145,Valid
562,901,0.851,115,119,Valid
563,389,1.038,115,129,Valid
563,829,0.993,136,144,Valid
564,301,0.879,141,140,Valid
564,677,0.768,156,131,Valid
565,61,0.765,153,134,Valid
565,469,0.778,150,125,Valid
565,853,0.836,144,131,Valid
566,301,0.866,136,129,Valid
566,733,0.845,141,127,Valid
567,173,0.778,144,121,Valid
567,605,0.815,131,130,Valid
568,13,0.827,141,135,Valid
568,454,0.811,144,130,Valid
568,878,0.797,136,126,Valid
569,334,0.792,138,124,Valid
569,734,0.811,144,121,Valid
570,142,0.824,144,137,Valid
570,566,0.77,147,130,Valid
570,990,0.728,144,122,Valid
571,414,0.734,138,121,Valid
571,830,0.772,141,122,Valid
572,254,0.774,141,109,Valid
572,662,0.801,141,127,Valid
573,102,0.731,150,127,Valid
573,526,0.755,136,110,Valid
573,966,0.697,147,102,Valid
574,342,0.787,138,119,Valid
574,790,0.76,141,131,Valid
575,222,0.772,138,134,Valid
575,638,0.808,138,137,Valid
576,86,0.78,141,131,Valid
576,518,0.811,136,118,Valid
576,918,0.816,147,127,Valid
577,359,0.791,138,123,Valid
577,791,0.785,138,116,Valid
578,191,0.76,147,135,Valid
578,623,0.704,144,101,Valid
579,63,0.719,136,126,Valid
579,455,0.705,150,105,Valid
579,855,0.726,147,122,Valid
580,287,0.696,147,120,Valid
580,687,0.707,141,124,Valid
581,151,0.694,136,116,Valid
581,567,0.713,138,114,Valid
581,991,0.742,141,123,Valid
582,415,0.734,138,131,Valid
582,863,0.737,138,126,Valid
583,279,0.727,144,118,Valid
583,695,0.693,144,116,Valid
584,111,0.686,144,109,Valid
584,551,0.697,136,104,Valid
584,951,0.725,141,121,Valid
585,407,0.69,141,113,Valid
585,831,0.744,133,111,Valid
586,280,0.757,133,122,Valid
586,728,0.69,144,105,Valid
587,160,0.668,138,84,Valid
587,560,0.741,133,103,Valid
588,56,0.69,131,96,Valid
588,504,0.709,127,103,Valid
588,960,0.709,133,126,Valid
589,384,0.607,150,114,Valid
589,816,0.643,133,112,Valid
590,248,0.686,138,96,Valid
590,656,0.74,136,113,Valid
591,112,0.75,141,117,Valid
591,544,0.738,133,109,Valid
591,992,0.724,136,127,Valid
592,864,0.716,69,103,Valid
593,264,0.717,144,88,Valid
593,680,0.756,138,121,Valid
594,144,0.697,138,106,Valid
594,624,0.679,129,98,Valid
595,24,0.767,136,119,Valid
595,441,0.757,141,120,Valid
596,369,0.726,66,99,Valid
596,809,0.783,127,84,Valid
597,273,0.788,131,107,Valid
597,745,0.781,127,124,Valid
598,233,0.694,136,113,Valid
598,681,0.748,125,99,Valid
599,105,0.768,136,125,Valid
599,593,0.721,127,114,Valid
600,73,0.648,129,99,Valid
600,497,0.608,144,100,Valid
601,113,0.71,89,121,Valid
