Second,Millisecond,Depth (inches),Rate (CPM),Release Velocity (MM/S),Valid/Invalid
63,103,1.556,100,8315,Valid
63,527,1.46,129,165,Valid
64,31,1.234,119,211,Valid
65,7,1.13,63,171,Valid
67,743,1.221,21,220,Valid
68,247,1.199,125,146,Valid
68,711,1.313,122,169,Valid
69,159,1.228,131,189,Valid
69,623,1.233,129,221,Valid
70,95,1.278,129,229,Valid
70,544,1.304,133,204,Valid
71,32,1.456,122,212,Valid
71,496,1.379,133,214,Valid
71,960,1.296,129,228,Valid
72,408,1.342,131,224,Valid
72,888,1.312,125,185,Valid
73,336,1.359,131,220,Valid
73,808,1.252,136,214,Valid
74,232,1.253,138,218,Valid
76,848,1.184,22,102,Valid
77,352,1.199,111,123,Valid
77,840,1.303,131,217,Valid
78,288,1.172,136,224,Valid
78,816,1.034,125,152,Valid
79,225,1.249,129,180,Valid
79,673,1.282,129,192,Valid
80,201,1.079,131,142,Valid
80,649,1.157,119,183,Valid
81,169,0.954,129,120,Valid
81,617,1.041,120,174,Valid
82,81,1.019,131,176,Valid
82,569,1.06,122,153,Valid
83,33,1.207,127,199,Valid
83,473,1.191,141,197,Valid
86,457,1.421,19,208,Valid
87,1,1.115,122,159,Valid
87,481,1.156,120,115,Valid
87,921,1.326,131,163,Valid
88,874,1.488,61,288,Valid
89,354,1.226,131,236,Valid
89,866,1.13,122,147,Valid
90,290,1.307,120,147,Valid
90,754,1.302,133,165,Valid
91,226,1.352,125,235,Valid
91,738,1.182,131,197,Valid
92,194,1.135,127,178,Valid
92,634,1.165,131,161,Valid
93,74,1.208,136,194,Valid
95,634,1.286,23,209,Valid
96,122,1.02,133,105,Valid
96,578,1.13,127,137,Valid
96,986,1.046,138,154,Valid
97,459,0.97,129,151,Valid
97,923,1.047,131,196,Valid
98,419,0.987,129,157,Valid
98,867,1.132,125,185,Valid
99,339,1.119,129,160,Valid
99,803,1.206,125,197,Valid
100,275,1.139,133,166,Valid
100,747,1.143,122,181,Valid
101,243,1.212,119,191,Valid
101,715,1.229,131,164,Valid
102,179,1.278,127,206,Valid
104,699,1.117,23,170,Valid
105,203,1.135,131,154,Valid
105,643,1.066,131,137,Valid
106,107,1.091,125,156,Valid
106,579,1.068,129,167,Valid
107,43,0.97,136,157,Valid
107,516,0.97,127,149,Valid
107,956,0.994,136,146,Valid
108,452,0.958,122,135,Valid
108,892,1.014,125,186,Valid
109,364,0.994,136,178,Valid
109,860,1.008,122,166,Valid
110,356,1.123,111,151,Valid
110,844,1.203,122,182,Valid
111,348,1.134,129,172,Valid
114,124,1.263,21,171,Valid
115,172,1.144,59,106,Valid
115,612,1.076,131,144,Valid
116,108,0.89,127,107,Valid
116,565,0.846,125,99,Valid
117,37,0.833,125,112,Valid
117,525,0.867,120,125,Valid
118,53,0.839,122,101,Valid
118,509,0.922,125,119,Valid
118,997,0.904,122,132,Valid
119,493,0.822,127,142,Valid
119,989,0.84,119,115,Valid
120,453,0.997,122,145,Valid
120,917,1.028,131,158,Valid
123,501,1.037,23,148,Valid
123,973,0.997,131,138,Valid
124,461,0.973,125,118,Valid
124,941,1.038,119,137,Valid
125,414,0.981,127,139,Valid
125,918,0.951,122,138,Valid
126,422,0.951,120,122,Valid
126,894,0.984,122,128,Valid
127,398,0.945,120,145,Valid
127,886,0.923,127,129,Valid
128,358,1.006,122,133,Valid
128,830,1,125,138,Valid
129,334,0.921,127,135,Valid
129,758,0.967,133,154,Valid
130,222,0.927,138,133,Valid
132,950,0.994,21,160,Valid
133,438,0.945,129,139,Valid
133,918,0.928,127,101,Valid
134,383,0.969,120,118,Valid
134,847,0.949,125,137,Valid
135,351,0.888,129,111,Valid
135,807,0.948,125,142,Valid
136,359,0.814,122,109,Valid
136,799,0.888,122,98,Valid
137,279,0.99,122,136,Valid
137,767,1.026,125,176,Valid
138,263,0.973,127,156,Valid
138,727,1.029,125,131,Valid
139,183,1.059,131,138,Valid
139,607,1.098,136,192,Valid
142,567,1.128,20,170,Valid
143,135,1.234,117,148,Valid
143,599,1.391,129,243,Valid
144,39,1.3,127,273,Valid
144,528,1.392,122,300,Valid
145,8,1.523,122,289,Valid
145,496,1.509,125,299,Valid
145,968,1.467,129,303,Valid
146,448,1.538,122,301,Valid
146,904,1.484,133,312,Valid
147,384,1.511,127,273,Valid
147,848,1.484,129,276,Valid
148,328,1.494,125,242,Valid
148,792,1.418,127,230,Valid
149,264,1.434,129,259,Valid
151,816,1.447,23,262,Valid
152,312,1.357,131,233,Valid
152,752,1.355,136,217,Valid
153,185,1.37,133,263,Valid
153,649,1.388,129,257,Valid
154,121,1.366,133,263,Valid
154,593,1.443,125,288,Valid
155,49,1.452,131,281,Valid
155,505,1.44,131,253,Valid
155,969,1.366,129,258,Valid
156,441,1.385,129,273,Valid
156,881,1.416,133,223,Valid
157,385,1.458,119,224,Valid
157,873,1.431,125,259,Valid
158,329,1.449,131,262,Valid
161,185,1.089,20,117,Valid
161,641,1.106,129,217,Valid
162,194,1.117,119,156,Valid
162,642,1.389,122,211,Valid
163,98,1.533,129,245,Valid
163,562,1.572,129,269,Valid
164,42,1.445,131,232,Valid
164,522,1.464,125,218,Valid
164,994,1.568,125,235,Valid
165,474,1.654,122,273,Valid
165,986,1.53,122,225,Valid
166,474,1.582,119,222,Valid
166,954,1.574,125,212,Valid
167,458,1.535,120,213,Valid
167,914,1.538,131,257,Valid
168,394,1.482,122,223,Valid
171,155,1.442,21,256,Valid
171,739,1.407,111,161,Valid
172,187,1.631,122,212,Valid
172,635,1.596,129,230,Valid
173,107,1.576,129,251,Valid
173,603,1.486,125,245,Valid
174,91,1.471,122,249,Valid
174,571,1.54,125,238,Valid
175,51,1.61,125,208,Valid
175,531,1.628,122,225,Valid
176,11,1.589,127,229,Valid
176,491,1.555,127,214,Valid
177,3,1.38,120,170,Valid
177,499,1.419,115,226,Valid
177,995,1.409,120,197,Valid
180,404,1.382,24,253,Valid
180,948,1.342,119,178,Valid
181,412,1.48,125,165,Valid
181,900,1.62,120,287,Valid
182,420,1.398,122,228,Valid
182,884,1.423,122,202,Valid
183,348,1.468,125,211,Valid
183,852,1.423,122,185,Valid
184,332,1.5,125,223,Valid
184,844,1.359,125,194,Valid
185,308,1.452,120,210,Valid
185,812,1.499,117,206,Valid
186,348,1.537,111,211,Valid
186,868,1.418,122,182,Valid
187,348,1.49,117,233,Valid
189,948,1.589,23,226,Valid
190,445,1.506,120,192,Valid
190,925,1.552,122,210,Valid
191,405,1.548,125,227,Valid
191,893,1.424,122,206,Valid
192,405,1.36,119,187,Valid
192,885,1.396,125,184,Valid
193,341,1.482,129,224,Valid
193,853,1.465,120,185,Valid
194,349,1.512,119,212,Valid
194,853,1.468,122,158,Valid
195,389,1.543,110,180,Valid
195,893,1.466,119,214,Valid
196,389,1.447,119,172,Valid
196,853,1.428,127,181,Valid
199,358,1.386,23,198,Valid
199,854,1.302,120,184,Valid
200,318,1.39,127,175,Valid
200,782,1.384,129,194,Valid
201,270,1.369,120,216,Valid
201,790,1.241,125,163,Valid
202,278,1.345,115,178,Valid
202,774,1.335,122,186,Valid
203,262,1.317,125,187,Valid
203,766,1.368,119,243,Valid
204,302,1.29,113,170,Valid
204,782,1.308,120,178,Valid
205,278,1.386,120,212,Valid
205,782,1.43,117,199,Valid
206,262,1.524,129,324,Valid
210,175,1.302,15,182,Valid
210,655,1.168,120,209,Valid
211,167,1.256,120,172,Valid
211,631,1.473,125,212,Valid
214,703,1.481,19,288,Valid
215,191,1.352,122,255,Valid
215,711,1.418,120,157,Valid
216,215,1.592,117,222,Valid
216,687,1.451,117,226,Valid
217,216,1.35,120,160,Valid
217,744,1.491,107,210,Valid
218,216,1.411,131,185,Valid
218,776,1.497,108,192,Valid
219,280,1.516,119,212,Valid
219,824,1.551,111,243,Valid
220,320,1.547,119,197,Valid
220,840,1.644,113,248,Valid
221,360,1.608,117,255,Valid
221,856,1.671,120,200,Valid
224,488,1.61,22,232,Valid
224,992,1.632,120,242,Valid
225,472,1.649,119,191,Valid
225,968,1.697,119,246,Valid
226,481,1.625,119,223,Valid
226,969,1.559,122,229,Valid
227,505,1.577,113,216,Valid
228,25,1.666,117,228,Valid
228,529,1.68,119,239,Valid
229,65,1.686,113,209,Valid
229,569,1.756,119,266,Valid
230,73,1.625,117,240,Valid
230,577,1.708,117,225,Valid
231,113,1.848,115,236,Valid
231,705,1.81,101,212,Valid
234,513,1.806,21,299,Valid
235,41,1.737,115,271,Valid
235,529,1.78,122,249,Valid
236,49,1.895,111,236,Valid
236,554,1.67,115,258,Valid
237,50,1.526,122,256,Valid
237,570,1.573,117,205,Valid
238,74,1.472,119,234,Valid
238,578,1.576,119,226,Valid
239,154,1.651,108,195,Valid
239,650,1.662,119,241,Valid
240,202,1.568,110,207,Valid
240,722,1.654,108,229,Valid
241,242,1.705,117,266,Valid
241,802,1.695,113,173,Valid
245,587,1.639,15,284,Valid
246,147,1.681,104,250,Valid
246,643,1.716,127,236,Valid
247,139,1.659,120,224,Valid
247,667,1.557,110,181,Valid
248,163,1.425,122,172,Valid
248,723,1.328,110,187,Valid
249,235,1.343,117,177,Valid
249,787,1.512,104,179,Valid
250,315,1.549,105,206,Valid
250,827,1.315,136,157,Valid
251,371,1.184,110,154,Valid
251,923,1.263,101,181,Valid
252,419,1.211,127,171,Valid
252,931,1.333,119,181,Valid
256,604,1.475,16,260,Valid
257,268,1.655,88,235,Valid
257,852,1.732,105,222,Valid
258,396,1.688,115,221,Valid
258,900,1.535,111,192,Valid
259,428,1.455,102,190,Valid
259,988,1.496,105,177,Valid
260,564,1.481,111,201,Valid
261,164,1.478,107,170,Valid
261,692,1.524,110,189,Valid
262,284,1.556,93,187,Valid
262,796,1.524,131,209,Valid
263,357,1.482,105,202,Valid
263,901,1.539,110,193,Valid
264,413,1.536,120,172,Valid
267,397,1.038,20,57,Valid
269,213,1.239,32,106,Valid
269,645,0.943,125,127,Valid
270,237,0.737,117,108,Valid
270,717,0.647,120,97,Valid
271,181,0.678,117,106,Valid
271,717,0.66,113,87,Valid
272,254,0.618,111,90,Valid
272,806,0.582,113,97,Valid
273,334,0.583,113,89,Valid
273,870,0.57,115,90,Valid
274,390,0.552,115,82,Valid
274,902,0.562,113,87,Valid
275,422,0.615,110,92,Valid
278,462,0.624,19,69,Valid
289,295,0.622,5,85,Valid
289,831,0.585,117,73,Valid
290,871,0.544,57,59,Valid
292,456,0.527,38,59,Valid
292,904,0.584,119,76,Valid
293,440,0.548,119,71,Valid
293,928,0.571,120,78,Valid
294,408,0.565,122,74,Valid
294,944,0.605,110,75,Valid
295,416,0.646,120,82,Valid
298,177,0.611,21,90,Valid
299,704,0.618,39,79,Valid
300,273,0.567,111,91,Valid
301,321,0.548,59,67,Valid
301,777,0.533,117,71,Valid
302,297,0.557,119,92,Valid
303,329,0.538,58,64,Valid
303,817,0.538,120,62,Valid
304,305,0.558,117,84,Valid
304,905,0.564,111,69,Valid
305,369,0.753,111,167,Valid
307,745,0.816,25,109,Valid
308,753,0.752,59,67,Valid
313,754,0.669,12,79,Valid
314,778,0.627,59,54,Valid
320,779,0.623,9,81,Valid
321,267,0.574,127,88,Valid
322,731,0.625,40,73,Valid
327,339,0.602,13,81,Valid
328,860,0.566,39,71,Valid
332,20,0.54,19,72,Valid
339,797,0.568,7,69,Valid
341,397,0.589,37,73,Valid
346,782,0.6,11,87,Valid
347,310,0.626,111,95,Valid
348,334,0.65,57,70,Valid
358,575,0.778,5,119,Valid
359,71,1.035,115,118,Valid
359,567,1.093,119,181,Valid
360,23,0.918,129,139,Valid
360,527,0.959,125,168,Valid
361,23,0.975,117,126,Valid
361,495,1.044,122,143,Valid
361,991,1.137,119,176,Valid
362,479,1.068,125,157,Valid
363,7,1.153,115,149,Valid
363,471,1.139,122,142,Valid
363,943,1.153,127,171,Valid
364,415,1.143,131,166,Valid
364,879,1.052,138,130,Valid
367,800,1.358,20,178,Valid
368,200,1.129,144,186,Valid
368,736,1.066,125,148,Valid
369,200,1.148,119,130,Valid
369,680,1.197,122,188,Valid
370,200,1.034,120,150,Valid
370,672,1.075,119,152,Valid
371,160,1.15,122,168,Valid
371,672,1.099,120,153,Valid
372,152,1.161,125,163,Valid
372,616,1.138,131,167,Valid
373,104,1.165,120,180,Valid
373,600,1.173,120,168,Valid
374,88,1.137,122,151,Valid
374,569,1.178,125,140,Valid
377,409,1.222,21,153,Valid
378,417,1.066,61,108,Valid
378,841,1.067,127,153,Valid
379,281,0.941,141,111,Valid
379,729,0.971,129,152,Valid
380,169,1.028,131,162,Valid
380,673,0.935,129,123,Valid
381,169,0.99,115,124,Valid
381,641,1.043,127,147,Valid
382,129,1.05,127,144,Valid
382,609,1.169,120,172,Valid
383,113,1.127,125,153,Valid
383,578,1.092,127,151,Valid
384,34,1.065,133,141,Valid
386,986,1.05,20,182,Valid
387,954,1.223,63,162,Valid
388,418,1.2,127,178,Valid
388,914,1.148,125,174,Valid
389,386,1.098,122,191,Valid
389,866,1.155,127,183,Valid
390,346,1.17,125,169,Valid
390,818,1.218,125,167,Valid
391,306,1.086,131,123,Valid
391,778,1.147,120,165,Valid
392,267,1.065,129,152,Valid
392,731,1.053,125,158,Valid
393,211,1.044,127,155,Valid
393,659,1.008,129,125,Valid
396,195,0.863,23,111,Valid
396,739,0.849,125,77,Valid
397,163,1.091,127,146,Valid
397,611,1.092,125,176,Valid
398,107,0.97,127,152,Valid
398,611,1.025,119,153,Valid
399,99,1.107,119,157,Valid
399,603,1.057,122,113,Valid
400,91,1.14,119,154,Valid
400,563,1.116,129,158,Valid
401,35,1.06,131,148,Valid
401,523,1.017,122,146,Valid
401,987,1.082,127,160,Valid
402,476,1.086,122,153,Valid
402,932,1.084,125,128,Valid
405,644,0.793,22,105,Valid
405,980,0.776,174,144,Valid
406,956,1.057,60,116,Valid
407,436,1.187,129,172,Valid
407,884,1.115,129,169,Valid
408,380,1.164,120,166,Valid
408,844,1.119,133,148,Valid
409,300,1.175,125,138,Valid
409,812,1.372,120,174,Valid
410,292,1.217,131,158,Valid
410,748,1.121,131,140,Valid
411,213,1.162,122,152,Valid
411,725,1.134,119,144,Valid
412,205,1.119,127,162,Valid
412,661,1.159,125,137,Valid
417,461,1.068,12,175,Valid
417,957,1.193,133,158,Valid
418,413,1.43,131,197,Valid
422,190,1.316,15,237,Valid
422,694,1.391,120,237,Valid
423,126,1.501,136,230,Valid
423,566,1.569,129,257,Valid
424,38,1.512,131,270,Valid
424,502,1.442,131,260,Valid
424,958,1.451,129,252,Valid
425,438,1.423,125,224,Valid
425,934,1.442,120,213,Valid
426,382,1.442,131,245,Valid
426,878,1.344,127,233,Valid
427,318,1.301,133,207,Valid
427,806,1.326,122,219,Valid
428,254,1.325,127,208,Valid
428,718,1.346,133,251,Valid
431,151,1.333,24,206,Valid
431,615,1.238,138,196,Valid
