Second,Millisecond,Depth (inches),Rate (CPM),Release Velocity (MM/S),Valid/Invalid
432,95,1.571,119,247,Valid
432,559,1.629,127,252,Valid
433,47,1.497,129,259,Valid
433,551,1.399,119,205,Valid
434,39,1.418,120,214,Valid
434,527,1.455,122,230,Valid
435,7,1.431,125,232,Valid
435,479,1.417,127,219,Valid
435,943,1.398,131,209,Valid
436,407,1.366,129,188,Valid
436,863,1.43,127,198,Valid
437,351,1.423,127,238,Valid
437,799,1.458,129,226,Valid
440,520,1.4,21,211,Valid
441,24,1.308,127,153,Valid
441,472,1.393,127,212,Valid
441,920,1.382,136,224,Valid
442,376,1.353,129,209,Valid
442,856,1.343,127,236,Valid
443,360,1.262,127,187,Valid
443,792,1.256,131,180,Valid
444,240,1.204,131,172,Valid
444,688,1.209,136,207,Valid
445,168,1.158,129,173,Valid
445,632,1.183,125,176,Valid
446,120,1.291,122,195,Valid
446,592,1.352,125,215,Valid
447,88,1.322,120,187,Valid
450,129,1.325,19,204,Valid
450,625,1.336,125,185,Valid
451,97,1.46,122,192,Valid
451,569,1.515,122,221,Valid
452,33,1.421,131,198,Valid
452,513,1.344,129,201,Valid
452,977,1.294,125,176,Valid
453,457,1.309,127,179,Valid
453,929,1.379,129,196,Valid
454,417,1.366,120,187,Valid
454,921,1.453,117,224,Valid
455,401,1.408,131,211,Valid
455,881,1.427,122,200,Valid
456,353,1.401,127,205,Valid
456,817,1.43,125,212,Valid
460,250,1.563,17,251,Valid
460,730,1.34,131,187,Valid
461,202,1.406,127,184,Valid
461,642,1.376,129,182,Valid
462,106,1.353,127,200,Valid
462,594,1.383,125,207,Valid
463,98,1.351,120,193,Valid
463,586,1.315,122,180,Valid
464,50,1.338,125,192,Valid
464,522,1.341,127,175,Valid
465,2,1.289,131,187,Valid
465,474,1.309,122,178,Valid
465,930,1.39,131,217,Valid
466,395,1.304,133,176,Valid
466,843,1.333,129,194,Valid
469,347,1.443,23,210,Valid
469,819,1.23,131,149,Valid
470,275,1.265,127,158,Valid
470,707,1.28,133,176,Valid
471,171,1.251,131,194,Valid
471,643,1.249,131,189,Valid
472,115,1.242,129,180,Valid
472,579,1.341,125,195,Valid
473,51,1.381,129,197,Valid
473,531,1.354,127,189,Valid
473,995,1.384,125,177,Valid
474,475,1.337,127,177,Valid
474,923,1.426,129,224,Valid
475,427,1.285,131,168,Valid
475,851,1.352,129,189,Valid
478,844,1.43,20,218,Valid
479,348,1.251,125,136,Valid
479,804,1.394,125,162,Valid
480,252,1.429,131,210,Valid
480,716,1.346,131,203,Valid
481,164,1.286,136,213,Valid
481,628,1.292,131,178,Valid
482,84,1.434,122,198,Valid
482,580,1.502,127,215,Valid
483,52,1.472,127,217,Valid
483,556,1.434,122,189,Valid
484,12,1.52,127,208,Valid
484,476,1.504,129,212,Valid
484,940,1.525,129,219,Valid
485,365,1.638,141,296,Valid
493,877,1.566,7,291,Valid
494,894,1.469,63,136,Valid
495,286,1.397,129,171,Valid
495,774,1.34,127,244,Valid
496,270,1.148,120,208,Valid
496,774,1.297,120,229,Valid
497,262,1.403,120,216,Valid
497,734,1.453,125,215,Valid
498,198,1.307,127,217,Valid
498,718,1.28,119,195,Valid
499,182,1.247,127,169,Valid
499,630,1.315,129,202,Valid
500,126,1.305,127,208,Valid
500,598,1.344,131,225,Valid
503,159,1.555,23,256,Valid
503,687,1.329,125,160,Valid
504,111,1.407,129,159,Valid
504,583,1.542,125,229,Valid
505,55,1.388,127,223,Valid
505,551,1.307,127,215,Valid
506,31,1.281,122,194,Valid
506,527,1.334,120,165,Valid
506,991,1.436,125,204,Valid
507,495,1.366,122,196,Valid
507,983,1.394,120,207,Valid
508,495,1.359,117,182,Valid
509,7,1.504,117,197,Valid
509,503,1.517,120,226,Valid
510,15,1.438,125,226,Valid
512,776,1.553,21,253,Valid
513,304,1.305,119,174,Valid
513,792,1.414,117,161,Valid
514,264,1.447,127,198,Valid
514,736,1.444,125,229,Valid
515,240,1.298,120,186,Valid
515,728,1.356,120,195,Valid
516,224,1.423,122,220,Valid
516,736,1.425,120,210,Valid
517,216,1.535,120,215,Valid
517,696,1.536,125,246,Valid
518,184,1.395,129,212,Valid
518,664,1.46,120,205,Valid
519,144,1.518,120,226,Valid
519,648,1.446,125,213,Valid
522,593,1.565,20,261,Valid
523,129,1.319,119,164,Valid
523,593,1.373,120,160,Valid
524,97,1.489,120,222,Valid
524,569,1.382,125,231,Valid
525,57,1.412,122,230,Valid
525,585,1.367,117,191,Valid
526,49,1.469,125,203,Valid
526,537,1.483,122,204,Valid
527,25,1.49,122,232,Valid
527,521,1.46,127,220,Valid
527,993,1.545,120,248,Valid
528,489,1.553,122,237,Valid
529,9,1.5,115,203,Valid
529,481,1.608,127,252,Valid
534,82,1.703,12,327,Valid
534,634,1.48,119,182,Valid
535,90,1.733,119,224,Valid
535,594,1.701,120,215,Valid
536,82,1.713,122,271,Valid
536,554,1.568,127,245,Valid
537,42,1.507,122,209,Valid
537,530,1.551,117,209,Valid
538,50,1.578,120,228,Valid
538,538,1.547,122,210,Valid
539,10,1.545,125,226,Valid
539,530,1.559,119,219,Valid
540,10,1.556,122,227,Valid
540,515,1.491,122,211,Valid
541,3,1.506,119,213,Valid
541,483,1.484,127,220,Valid
541,971,1.558,120,246,Valid
542,467,1.525,122,223,Valid
542,955,1.534,122,230,Valid
543,443,1.597,119,221,Valid
543,915,1.606,129,243,Valid
544,419,1.521,122,234,Valid
544,915,1.597,119,225,Valid
545,395,1.626,120,237,Valid
545,899,1.566,122,235,Valid
546,395,1.5,122,237,Valid
546,883,1.549,119,215,Valid
547,347,1.516,129,240,Valid
573,238,1.581,2,266,Valid
573,790,1.219,120,150,Valid
574,238,1.3,122,140,Valid
574,702,1.374,122,200,Valid
575,150,1.257,129,208,Valid
575,654,1.161,129,176,Valid
576,134,1.353,119,209,Valid
576,598,1.423,127,211,Valid
577,78,1.404,127,207,Valid
577,583,1.324,120,160,Valid
578,71,1.357,122,191,Valid
578,535,1.233,131,168,Valid
578,991,1.336,125,208,Valid
579,471,1.404,122,224,Valid
579,951,1.477,129,218,Valid
582,623,1.684,22,268,Valid
583,95,1.45,127,180,Valid
583,607,1.443,125,152,Valid
584,47,1.591,129,209,Valid
584,495,1.48,127,212,Valid
584,999,1.442,125,224,Valid
585,503,1.463,119,209,Valid
585,967,1.458,125,223,Valid
586,480,1.352,125,180,Valid
586,912,1.473,131,190,Valid
587,376,1.501,127,200,Valid
587,864,1.498,125,210,Valid
588,376,1.447,120,199,Valid
588,872,1.396,120,190,Valid
589,344,1.355,125,183,Valid
589,832,1.285,122,176,Valid
590,312,1.388,120,220,Valid
590,824,1.314,122,191,Valid
591,304,1.38,119,196,Valid
591,816,1.426,119,216,Valid
592,328,1.249,122,179,Valid
592,768,1.238,129,172,Valid
593,248,1.255,127,182,Valid
593,736,1.305,122,210,Valid
594,192,1.383,129,218,Valid
594,696,1.37,122,206,Valid
595,177,1.348,125,186,Valid
595,633,1.346,129,199,Valid
596,105,1.323,127,216,Valid
596,585,1.315,127,226,Valid
597,73,1.382,120,179,Valid
597,553,1.48,122,189,Valid
598,57,1.436,120,185,Valid
598,537,1.395,125,201,Valid
599,1,1.363,129,194,Valid
599,489,1.407,120,197,Valid
599,993,1.332,125,187,Valid
600,449,1.363,127,172,Valid
600,929,1.304,127,183,Valid
601,385,1.272,127,176,Valid
601,881,1.302,122,202,Valid
602,385,1.277,120,168,Valid
602,857,1.357,122,183,Valid
603,361,1.314,120,162,Valid
603,841,1.273,129,183,Valid
604,298,1.261,129,186,Valid
604,778,1.289,125,191,Valid
605,274,1.266,120,169,Valid
605,754,1.283,125,176,Valid
606,226,1.237,127,184,Valid
606,690,1.236,127,177,Valid
607,178,1.276,120,164,Valid
607,666,1.252,127,187,Valid
608,130,1.248,127,183,Valid
608,602,1.254,129,211,Valid
609,66,1.237,131,192,Valid
609,506,1.265,129,187,Valid
609,986,1.351,127,228,Valid
610,466,1.329,127,225,Valid
610,930,1.334,129,205,Valid
611,394,1.387,127,198,Valid
611,850,1.42,133,237,Valid
612,322,1.407,125,228,Valid
612,794,1.289,131,180,Valid
613,251,1.403,125,181,Valid
613,747,1.395,122,201,Valid
614,235,1.358,122,205,Valid
614,731,1.416,119,197,Valid
615,235,1.396,122,198,Valid
615,683,1.408,129,210,Valid
616,171,1.375,129,213,Valid
616,635,1.427,125,219,Valid
617,123,1.477,122,226,Valid
617,603,1.464,127,224,Valid
618,67,1.551,125,253,Valid
618,547,1.463,127,213,Valid
619,59,1.362,120,186,Valid
619,499,1.419,129,196,Valid
619,995,1.448,120,214,Valid
620,483,1.438,125,219,Valid
620,955,1.482,125,235,Valid
621,475,1.333,120,186,Valid
621,955,1.406,119,219,Valid
622,427,1.383,127,224,Valid
622,907,1.452,125,200,Valid
623,412,1.427,120,241,Valid
623,876,1.43,131,223,Valid
624,340,1.547,125,223,Valid
624,844,1.479,125,196,Valid
625,292,1.478,127,198,Valid
625,780,1.424,127,196,Valid
626,260,1.39,122,171,Valid
626,740,1.408,127,190,Valid
627,252,1.459,113,162,Valid
627,732,1.476,125,183,Valid
628,204,1.396,133,251,Valid
637,277,1.502,6,315,Valid
637,765,1.463,133,282,Valid
638,237,1.552,125,218,Valid
638,685,1.663,125,271,Valid
639,157,1.702,129,298,Valid
639,613,1.563,136,258,Valid
640,149,1.541,115,270,Valid
640,605,1.635,120,320,Valid
641,77,1.717,131,279,Valid
641,534,1.793,129,288,Valid
642,46,1.734,125,250,Valid
642,518,1.732,127,240,Valid
643,22,1.602,125,210,Valid
643,486,1.715,120,260,Valid
643,926,1.615,141,209,Valid
647,334,1.662,17,309,Valid
647,838,1.645,120,262,Valid
648,318,1.779,120,282,Valid
648,806,1.759,122,232,Valid
649,262,1.724,131,240,Valid
649,726,1.568,131,242,Valid
650,190,1.534,131,230,Valid
650,662,1.642,122,241,Valid
651,118,1.652,136,240,Valid
651,607,1.562,127,209,Valid
652,47,1.6,127,248,Valid
652,551,1.654,122,250,Valid
653,23,1.718,127,260,Valid
653,487,1.634,131,262,Valid
653,983,1.67,120,225,Valid
654,439,1.804,127,248,Valid
654,919,1.663,136,255,Valid
655,399,1.594,125,198,Valid
655,847,1.544,127,235,Valid
656,335,1.523,127,213,Valid
656,775,1.485,133,205,Valid
657,255,1.444,122,168,Valid
657,719,1.536,131,200,Valid
658,183,1.519,129,202,Valid
658,663,1.573,122,224,Valid
659,151,1.56,122,235,Valid
659,647,1.601,122,234,Valid
660,103,1.601,131,232,Valid
660,568,1.669,129,226,Valid
661,64,1.642,119,223,Valid
661,528,1.52,136,206,Valid
661,960,1.551,131,235,Valid
662,440,1.57,125,239,Valid
662,880,1.604,133,269,Valid
663,384,1.634,122,193,Valid
663,848,1.655,125,251,Valid
664,336,1.489,127,178,Valid
664,792,1.577,129,268,Valid
665,280,1.589,125,237,Valid
665,768,1.642,120,201,Valid
666,272,1.738,117,269,Valid
666,728,1.672,136,265,Valid
667,168,1.627,136,253,Valid
667,616,1.623,133,226,Valid
668,80,1.759,125,268,Valid
668,520,1.652,141,240,Valid
669,32,1.757,113,264,Valid
669,521,1.738,122,257,Valid
669,977,1.651,131,213,Valid
670,481,1.729,115,268,Valid
671,17,1.676,113,227,Valid
671,465,1.685,133,265,Valid
671,953,1.638,129,254,Valid
672,425,1.834,119,265,Valid
672,889,1.86,133,275,Valid
673,401,1.583,131,178,Valid
673,817,1.69,115,333,Valid
674,297,1.528,147,248,Valid
674,777,1.532,122,232,Valid
675,217,1.663,129,221,Valid
675,649,1.717,136,251,Valid
676,129,1.727,129,264,Valid
676,617,1.655,125,264,Valid
677,89,1.572,129,231,Valid
677,561,1.569,125,227,Valid
678,25,1.661,127,270,Valid
678,506,1.65,127,247,Valid
678,962,1.722,129,278,Valid
679,450,1.657,125,271,Valid
679,938,1.623,127,227,Valid
680,418,1.696,117,256,Valid
680,914,1.594,127,225,Valid
681,402,1.609,120,235,Valid
681,858,1.64,129,247,Valid
682,330,1.59,131,247,Valid
682,818,1.682,119,259,Valid
683,290,1.595,131,209,Valid
683,786,1.554,115,275,Valid
684,258,1.4,136,185,Valid
684,722,1.384,125,196,Valid
685,186,1.39,129,184,Valid
685,674,1.392,122,194,Valid
686,146,1.466,125,207,Valid
686,634,1.512,120,261,Valid
687,138,1.488,119,224,Valid
687,634,1.653,122,216,Valid
688,106,1.7,125,276,Valid
688,603,1.587,125,244,Valid
689,75,1.571,122,224,Valid
689,547,1.589,127,222,Valid
689,979,1.542,141,264,Valid
690,443,1.741,127,304,Valid
690,907,1.869,127,296,Valid
691,379,1.758,131,339,Valid
691,859,1.685,129,214,Valid
692,323,1.537,131,203,Valid
692,779,1.556,122,203,Valid
693,251,1.619,127,278,Valid
693,739,1.527,129,213,Valid
694,219,1.497,125,176,Valid
694,683,1.497,117,245,Valid
695,147,1.45,141,218,Valid
695,619,1.517,122,214,Valid
