second25,ms26,D,CPM,Vr,valid
847,277,1830,117,329,1
847,757,1796,125,331,1
848,253,1879,120,385,1
848,733,1852,125,367,1
849,213,1834,125,336,1
849,685,1856,125,350,1
850,173,1790,125,340,1
850,661,1826,122,359,1
851,157,1896,119,398,1
851,653,1947,122,403,1
852,149,2035,120,430,1
852,653,2053,119,396,1
853,157,1996,117,360,1
853,669,2020,117,387,1
854,165,2004,120,396,1
854,661,2008,120,385,1
855,173,2015,119,389,1
855,685,2012,117,394,1
856,198,1927,115,321,1
856,710,1855,119,350,1
857,214,1760,120,301,1
857,718,1764,115,325,1
858,222,1744,120,329,1
858,726,1757,119,333,1
859,206,1833,122,347,1
859,710,1909,120,377,1
860,198,1938,120,362,1
860,702,1918,120,347,1
861,198,1882,119,350,1
861,702,1884,119,344,1
862,214,1949,117,370,1
862,710,1828,122,333,1
863,198,1822,122,319,1
863,646,1861,131,376,1
864,118,1924,127,371,1
864,606,1922,125,368,1
865,86,1894,125,354,1
865,567,1915,125,366,1
866,31,1927,127,366,1
866,519,1893,125,330,1
867,7,1924,122,369,1
867,487,1975,122,391,1
867,975,1890,125,329,1
868,455,1804,125,296,1
868,935,1831,122,319,1
869,415,1833,127,350,1
869,903,1897,120,352,1
870,415,1938,117,362,1
870,911,1825,120,326,1
871,399,1873,122,357,1
884,0,1718,4,330,1
884,513,1718,122,349,1
884,985,1892,125,366,1
885,433,1995,133,381,1
885,889,2052,131,421,1
886,353,2109,129,434,1
886,817,2104,131,405,1
887,289,2186,127,432,1
887,745,2155,131,413,1
888,193,2162,131,430,1
888,649,2048,133,398,1
889,129,1838,127,290,1
897,762,1806,6,381,1
898,234,1799,136,397,1
898,698,1805,131,352,1
899,146,1878,129,349,1
899,610,1926,129,380,1
900,82,1886,127,354,1
900,562,1902,127,372,1
901,10,1973,131,386,1
901,450,1949,133,371,1
901,938,2003,122,368,1
902,419,2004,129,388,1
902,891,2018,125,384,1
903,355,1930,129,352,1
903,827,1860,131,338,1
904,299,1923,122,360,1
904,771,1887,129,345,1
905,251,1864,122,337,1
905,715,1859,131,345,1
906,187,1799,127,328,1
906,667,1789,125,328,1
907,155,1814,120,333,1
907,659,1800,119,321,1
908,147,1784,125,302,1
908,635,1810,120,307,1
909,123,1852,122,341,1
909,627,1835,119,320,1
910,123,1857,122,322,1
910,627,1813,119,299,1
911,99,1678,129,267,1
911,596,1753,115,280,1
912,116,1770,115,300,1
912,636,1746,117,326,1
913,124,1738,125,315,1
913,596,1708,127,311,1
914,84,1750,120,302,1
914,564,1868,122,306,1
915,76,1873,119,330,1
915,572,1913,120,337,1
916,68,1859,122,311,1
916,556,1919,120,343,1
